schedule,schedule_type,reason
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:00) | Nghỉ trưa: 1 tiếng 30 phút,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00) | Thứ 7 chỉ làm buổi sáng, không bắt buộc phải lên văn phòng",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
"[""Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)\nThứ 7 (từ 08:00 đến 12:00)""]",T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 07:30 đến 16:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 (từ 08:00 đến 12:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 09:00 đến 18:00) | Thứ 7 (từ 09:00 đến 13:00),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Luân phiên Thứ 7 tù 8h-12h,T2-T6,header-T6-pure
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) | Thứ 7 (từ 08:30 đến 12:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | 2 thứ 7 trong tháng: 8h30 - 17:00.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 làm cách tuần,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 (từ 08:00 đến 16:30),T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:30 đến 17:30),T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Từ thứ 2 đến thứ 6 và 1 thứ 7 đầu tiên của tháng.,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 7 (từ 08:00 đến 17:15),T2-T7,header-T7
"Thứ 2 - Thứ 7 (từ 08:30 đến 17:30) | Thứ 7 hai ngày off, 2 ngày lên công ty theo lịch",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Thứ 7 làm việc cách tuần,T2-T7,header-T6+sat-body
"Thứ 2 - Thứ 7 (từ 08:00 đến 17:00) | Sáng: Từ 8h-12h, Chiều: Từ 13h-17h | Từ thứ 2- thứ 7 (tháng nghỉ full 02 ngày thứ 7)",T2-T7,header-T7
Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) | Thứ 7 - Thứ 6 (từ 08:00 đến 12:00),T2-T6,header-T6-pure
Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) | Nghỉ 2 thứ 7 trong tháng,T2-T7,header-T6+sat-body
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00) | Thứ 7 cách tuần,T2-T7,header-T6+sat-body
