STT,Tiêu đề,Công ty,Lương,Link
1,Trưởng Phòng Kinh Doanh Bất Động Sản (Hỗ Trợ MKT) - LCB Từ 9 Triệu/Hoa Hồng 80 Triệu Đến 200 Triệu/Căn,CÔNG TY CỔ PHẦN SÀN GIAO DỊCH BẤT ĐỘNG SẢN TERA,80 - 200 triệu,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-bat-dong-san-ho-tro-mkt-lcb-tu-9-trieu-hoa-hong-80-trieu-den-200-trieu-can/2108385.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
2,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn _ Làm Việc Tại Hồ Chí Minh,CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ SÀI GÒN,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-lam-viec-tai-ho-chi-minh/2105178.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
3,Nhân Viên Tư Vấn/ Sale Online/ Chăm Sóc Khách Hàng (Game) - Thu Nhập Hấp Dẫn,Công Ty TNHH CNLGAMING,Từ 12 triệu,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-sale-online-cham-soc-khach-hang-game-thu-nhap-hap-dan/1662973.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
4,Trợ Lý Vận Hành - Sales Admin - Không Yêu Cầu Kinh Nghiệm - Đi Làm Ngay (Hà Nội & Quận 6 HCM),Công ty Cổ phần Đầu tư Fiveland,Từ 8.5 triệu,https://www.topcv.vn/viec-lam/tro-ly-van-hanh-sales-admin-khong-yeu-cau-kinh-nghiem-di-lam-ngay-ha-noi-quan-6-hcm/2112784.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
5,Intern Digital Marketing | Performance - Ads - Ecommerce Quốc Tế | Hồ Chí Minh  - Thu Nhập 10-25TR,CÔNG TY TNHH ADIFY,6 - 25 triệu,https://www.topcv.vn/viec-lam/intern-digital-marketing-performance-ads-ecommerce-quoc-te-ho-chi-minh-thu-nhap-10-25tr/2112239.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
6,Nhân Viên Văn Phòng Hỗ Trợ Phần Mềm & CSKH,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,8 - 12 triệu,https://www.topcv.vn/brand/softdreams/tuyen-dung/nhan-vien-van-phong-ho-tro-phan-mem-cskh-j2113267.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
7,Nhân Viên Chăm Sóc Khách Hàng,CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG HẢI HÀNG KHÔNG CON CÁ HEO,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang/1334710.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
8,Chuyên Viên Chính Truyền Thông Marketing - Hà Nội - TA161 - ID3218,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),Thoả thuận,https://www.topcv.vn/brand/vpbank/tuyen-dung/chuyen-vien-chinh-truyen-thong-marketing-ha-noi-ta161-id3218-j2111498.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
9,"Chuyên Viên Cao Cấp Phát Triển Ứng Dụng Kênh Ngân Hàng Số (Java, .Net)",Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển – PGBank,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-phat-trien-ung-dung-kenh-ngan-hang-so-java-net/1897077.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
10,Thực Tập Sinh Truyền Thông - Sự Kiện Có Lương (Có Dấu),CÔNG TY CỔ PHẦN DỊCH VỤ TRANG TRÍ VÀ SỰ KIỆN ZINA,3 - 5 triệu,https://www.topcv.vn/viec-lam/thuc-tap-sinh-truyen-thong-su-kien-co-luong-co-dau/1823701.html?ta_source=JobSearchList_LinkDetail&u_sr_id=41xKsCt6oTR8qJeOXslC50sXuoOJbolXedZyH5X2_1776614709
